,name,price,status,link
0,"Apple MacBook Air 13 Retina MGND3 Gold (M1 8-Core, GPU 7-Core, 8GB, 256Gb)",99990,In stock,https://biggeek.ru/products/apple-macbook-air-13-retina-mgnd3-gold-m1-8gb-256gb
1,"Apple MacBook Air 13 Retina MGN63 Space Gray (M1 8-Core, GPU 7-Core, 8GB, 256Gb)",99990,In stock,https://biggeek.ru/products/apple-macbook-air-13-retina-mgn63-space-gray-m1-8gb-256gb
2,"Apple MacBook Air 13 Retina MGN93 Silver (M1 8-Core, GPU 7-Core, 8GB, 256Gb)",101990,In stock,https://biggeek.ru/products/apple-macbook-air-13-retina-mgn93-silver-m1-8gb-256gb
3,"Apple MacBook Air 13 Retina Z0YL000LB Gold (Intel Core i5 1,1 GHz, 8GB 256Gb, Intel Iris Plus Graphics)",114990,In stock,https://biggeek.ru/products/apple-macbook-air-13-retina-z0yl000lb-gold-intel-core-i5-11-ghz-8gb-256gb-intel-iris-plus-graphics
4,"Apple MacBook Air 13 Retina MGN73 Space Gray (M1 8-Core, GPU 8-Core, 8GB, 512Gb)",114990,In stock,https://biggeek.ru/products/apple-macbook-air-13-retina-mgn73-space-gray-m1-8gb-512gb
5,"Apple MacBook Air 13 Retina MGNA3 Silver (M1 8-Core, GPU 8-Core, 8GB, 512Gb)",114990,In stock,https://biggeek.ru/products/apple-macbook-air-13-retina-mgna3-silver-m1-8gb-512gb
6,"Apple MacBook Air 13 Retina MGNE3 Gold (M1 8-Core, GPU 8-Core, 8GB, 512Gb)",114990,In stock,https://biggeek.ru/products/apple-macbook-air-13-retina-mgne3-gold-m1-8gb-512gb
7,"Apple MacBook Pro 13 Retina Touch Bar MYD82 Space Gray (M1 8-Core, 8GB, 256Gb)",119990,In stock,https://biggeek.ru/products/apple-macbook-pro-13-retina-touch-bar-myd82-space-gray-m1-8gb-256gb
8,"Apple MacBook Air 13 Retina Z0YJ000VS Space Gray (Intel Core i5 1,1 GHz, 8GB 256Gb, Intel Iris Plus Graphics)",119990,In stock,https://biggeek.ru/products/apple-macbook-air-13-retina-z0yj000vs-space-gray-intel-core-i5-11-ghz-8gb-256gb-intel-iris-plus-graphics
9,"Apple MacBook Pro 13 Retina Touch Bar MYDA2 Silver (M1 8-Core, 8GB, 256Gb)",119990,In stock,https://biggeek.ru/products/apple-macbook-pro-13-retina-touch-bar-myda2-silver-m1-8gb-256gb
